Date,forecast
2025-01-01,38557725.51039999
2025-01-02,38907348.58220001
2025-01-03,39159802.185700014
2025-01-04,38863607.14850001
2025-01-05,38380185.4445
2025-01-06,38970474.23000003
2025-01-07,38858568.08110002
2025-01-08,38786477.455800004
2025-01-09,39165241.62670002
2025-01-10,39173988.31800002
2025-01-11,38885008.948300004
2025-01-12,38928742.404800005
2025-01-13,39156247.450300016
2025-01-14,39176841.98260002
2025-01-15,38986362.815200016
2025-01-16,39200228.39190002
2025-01-17,39016667.25120002
2025-01-18,39269357.729700014
2025-01-19,39055492.15300001
2025-01-20,39211828.74780002
2025-01-21,39176841.98260002
2025-01-22,39200228.39190002
2025-01-23,39165241.62670002
2025-01-24,39173988.31800002
2025-01-25,39077049.89770002
2025-01-26,39077049.89770002
2025-01-27,39176841.98260002
2025-01-28,39176841.98260002
2025-01-29,39200228.39190002
2025-01-30,39007920.559900016
